type,gender,vage,age,branch,ee,num,cost,sev
新车,F,0,18,北京,1,0,0,0
新车,F,0,18,北京,1,0,0,0
新车,F,0,18,北京,1,1,1190,1190
新车,F,0,18,北京,1,0,0,0
新车,F,0,18,北京,1,1,680,680
新车,F,0,18,北京,1,2,4534,2267
新车,F,0,18,北京,1,1,790.5,790.5
新车,F,0,18,北京,1,0,0,0
新车,F,0,18,北京,1,1,3751.05,3751.05
新车,F,0,18,北京,1,0,0,0
新车,F,0,18,上海,1,0,0,0
新车,F,0,18,上海,1,2,2167.5,1083.75
新车,F,0,18,重庆,1,0,0,0
新车,F,0,19,北京,1,1,1555.5,1555.5
新车,F,0,19,北京,1,2,1445,722.5
新车,F,0,19,北京,1,1,935,935
新车,F,0,19,北京,1,0,0,0
新车,F,0,19,北京,1,0,0,0
新车,F,0,19,北京,1,0,0,0
新车,F,0,19,北京,1,1,3239.35,3239.35
新车,F,0,19,北京,1,0,0,0
新车,F,0,19,北京,1,3,4940.2,1646.733333
新车,F,0,19,北京,1,1,2295,2295
新车,F,0,19,北京,1,0,0,0
新车,F,0,19,北京,1,1,425,425
新车,F,0,19,北京,1,0,0,0
新车,F,0,19,北京,1,1,937.55,937.55
新车,F,0,19,上海,1,1,2210,2210
新车,F,0,19,上海,1,0,0,0
新车,F,0,19,上海,1,0,0,0
新车,F,0,19,上海,1,1,1105,1105
新车,F,0,19,上海,1,0,0,0
新车,F,0,19,天津,1,1,1190,1190
新车,F,0,20,北京,1,0,0,0
新车,F,0,20,北京,1,0,0,0
新车,F,0,20,北京,1,0,0,0
新车,F,0,20,北京,1,0,0,0
新车,F,0,20,北京,1,2,1343,671.5
新车,F,0,20,北京,1,0,0,0
新车,F,0,20,北京,1,0,0,0
新车,F,0,20,北京,1,0,0,0
新车,F,0,20,北京,1,0,0,0
新车,F,0,20,北京,1,0,0,0
新车,F,0,20,北京,1,0,0,0
新车,F,0,20,北京,1,0,0,0
新车,F,0,20,北京,1,0,0,0
新车,F,0,20,北京,1,1,5933,5933
新车,F,0,20,北京,1,0,0,0
新车,F,0,20,北京,1,1,838.1,838.1
新车,F,0,20,北京,1,1,957.1,957.1
新车,F,0,20,北京,1,0,0,0
新车,F,0,20,北京,1,2,1147.5,573.75
新车,F,0,20,北京,1,2,2210,1105
新车,F,0,20,北京,1,3,1386.5,462.1666667
新车,F,0,20,北京,1,1,1700,1700
新车,F,0,20,上海,1,0,0,0
新车,F,0,20,上海,1,2,1255,627.5
新车,F,0,20,上海,1,1,382.5,382.5
新车,F,0,20,天津,1,0,0,0
新车,F,0,20,天津,1,1,693,693
新车,F,0,20,重庆,1,0,0,0
新车,F,0,20,重庆,1,2,1234.2,617.1
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,1,982.6,982.6
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,5,8635.15,1727.03
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,1,1144.95,1144.95
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,1,1357.45,1357.45
新车,F,0,21,北京,1,2,1071.85,535.925
新车,F,0,21,北京,1,2,6897.75,3448.875
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,2,1453.5,726.75
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,0,0,0
新车,F,0,21,北京,1,3,2864.5,954.8333333
新车,F,0,21,上海,1,0,0,0
新车,F,0,21,上海,1,1,467.5,467.5
